il,ilkod
ADANA,TUR001
ADIYAMAN,TUR002
AFYONKARAHİSAR,TUR003
AĞRI,TUR004
AMASYA,TUR005
ANKARA,TUR006
ANTALYA,TUR007
ARTVİN,TUR008
AYDIN,TUR009
BALIKESİR,TUR010
BİLECİK,TUR011
BİNGÖL,TUR012
BİTLİS,TUR013
BOLU,TUR014
BURDUR,TUR015
BURSA,TUR016
ÇANAKKALE,TUR017
ÇANKIRI,TUR018
ÇORUM,TUR019
DENİZLİ,TUR020
DİYARBAKIR,TUR021
EDİRNE,TUR022
ELAZIĞ,TUR023
ERZİNCAN,TUR024
ERZURUM,TUR025
ESKİŞEHİR,TUR026
GAZİANTEP,TUR027
GİRESUN,TUR028
GÜMÜŞHANE,TUR029
HAKKARİ,TUR030
HATAY,TUR031
ISPARTA,TUR032
MERSİN,TUR033
İSTANBUL,TUR034
İZMİR,TUR035
KARS,TUR036
KASTAMONU,TUR037
KAYSERİ,TUR038
KIRKLARELİ,TUR039
KIRŞEHİR,TUR040
KOCAELİ,TUR041
KONYA,TUR042
KÜTAHYA,TUR043
MALATYA,TUR044
MANİSA,TUR045
KAHRAMANMARAŞ,TUR046
MARDİN,TUR047
MUĞLA,TUR048
MUŞ,TUR049
NEVŞEHİR,TUR050
NİĞDE,TUR051
ORDU,TUR052
RİZE,TUR053
SAKARYA,TUR054
SAMSUN,TUR055
SİİRT,TUR056
SİNOP,TUR057
SİVAS,TUR058
TEKİRDAĞ,TUR059
TOKAT,TUR060
TRABZON,TUR061
TUNCELİ,TUR062
ŞANLIURFA,TUR063
UŞAK,TUR064
VAN,TUR065
YOZGAT,TUR066
ZONGULDAK,TUR067
AKSARAY,TUR068
BAYBURT,TUR069
KARAMAN,TUR070
KIRIKKALE,TUR071
BATMAN,TUR072
ŞIRNAK,TUR073
BARTIN,TUR074
ARDAHAN,TUR075
IĞDIR,TUR076
YALOVA,TUR077
KARABÜK,TUR078
KİLİS,TUR079
OSMANİYE,TUR080
DÜZCE,TUR081
